Job Title,Company Name,Location,Job Type,Level,Years of Experience,Skills,Country
Senior Data Scientist,Egabi FSI ,"Sheraton, Cairo, Egypt","Full Time, On-site",N/A, 3+ Yrs of Exp,"Experienced, · IT/Software Development, · Engineering - Telecom/Technology, · Computer Science, · Data Mining, · Data Science, · data scientist, · Hadoop, Machine Learning, · Python, · SQL",Egypt
Data Scientist,Etihad,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Python, · Computer Science, · Information Technology (IT), · SQL, · Data Science, · Data Scientist, Machine Learning",Egypt
Principal Applied Scientist,Inception,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · computer science, · information technology (it), · engineering, · python, · sales, machine learning, · business development",Egypt
AI Engineer (m/f/d),Halian,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · AI, · Information Technology (IT), · Computer Science, · Engineering, · Python, · Software Engineering, · NLP",Egypt
Data Scientist,HALA,"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Python, · Computer Science, · Information Technology (IT), · SQL, · Data Science, · Data Scientist, Machine Learning",Egypt
Data Scientist (Core),Revolut,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Python, · Computer Science, · Information Technology (IT), · SQL, · Data Science, · Data Scientist, Machine Learning",Egypt
"Learning, Development & Quality Supervisor",Mövenpick Hotels & Resorts,"Makkah, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · Human Resources, · IT/Software Development, · Training/Instructor, · Training, · Human Resources (HR), · Information Technology (IT), · Computer Science, · Software Development, Machine Learning, Learning",Egypt
AI Model Engineer,Confidential,"Nasr City, Cairo, Egypt","Full Time, Hybrid",N/A, 5+ Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Machine Learning, Deep Learning, · Python Programming, · Data Analysis, · Model Deployment, · TensorFlow, · PyTorch",Egypt
Data Scientist,Visa,"Riyadh, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Python, · Computer Science, · Information Technology (IT), · SQL, · Data Science, · Data Scientist, Machine Learning",Egypt
Computer Vision Engineer,Rehabitaire,"New Cairo, Cairo, Egypt","Full Time, Remote",N/A, 3 - 7 Yrs of Exp,"Experienced, · IT/Software Development, · Engineering - Telecom/Technology, · Computer Vision, · Artificial Intelligence (AI), · NLP, · ML, Deep Learning, · Computer Science, · Data Science, · Data Analysis",Egypt
Mechanical Engineer,RITEC,"Maadi, Cairo, Egypt","Full Time, On-site",Entry Level, 0 - 3 Yrs of Exp,"· Engineering - Mechanical/Electrical, · Mechanical Engineering, · Engineering, · Condition Monitoring, Condition Machines, · Thermography, · Computer Skills, · Vibration Analysis, · Ultrasound, · Lubrication Oil Analysis",Egypt
AI Engineer,34ML,"Cairo, Egypt","Full Time, Hybrid",Entry Level, 1 - 3 Yrs of Exp,"· IT/Software Development, · Python, Machine Learning, · Artificial Intelligence (AI), · Computer Science, · Computer Engineering, · Mechatronics, · Docker, · AWS, · Microsoft Azure",Egypt
AI Engineer,U X E SECURITY SOLUTIONS L.L.C,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · AI, · Information Technology (IT), · Computer Science, · Engineering, · Python, · Software Engineering, · NLP",Egypt
Senior Data Scientist,Mozn,"Riyadh, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Computer Science, · Information Technology (IT), · SQL, · Python, · Engineering, · Data Analysis, · Software Development",Egypt
Senior Data Scientist (Computer Vision),Revolut,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Computer Science, · Information Technology (IT), · SQL, · Python, · Engineering, · Data Analysis, · Software Development",Egypt
Data Scientist (Analytics & Validation),Tutanic,"New Cairo, Cairo, Egypt","Full Time, On-site",Entry Level, 0 - 5 Yrs of Exp,"· IT/Software Development, · Data Science, · Data Modeling, · AI, Machine Learning, · Information Technology (IT), · Cloud Technology",Egypt
Copy of Data Scientist,Mozn,"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Python, · Computer Science, · Information Technology (IT), · SQL, · Data Science, Machine Learning, · Data Scientist",Egypt
MLOps Engineer (Cloud & Compliance),Tutanic,"New Cairo, Cairo, Egypt","Full Time, On-site",N/A, 4+ Yrs of Exp,"Experienced, · IT/Software Development, · AI, Machine Learning, · MLOps, · DevOps",Egypt
Artificial Intelligence Engineer,AlgoDriven,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Artificial Intelligence, · Computer Science, · Information Technology (IT), · Software Engineering, · Computer Engineering, · Software Development, · Engineering",Egypt
AsstChief Engineer I,Marriott International,"Makkah, Saudi Arabia",Full Time,Entry Level,N/A,"· IT/Software Development, · Engineering - Telecom/Technology, · Engineering - Mechanical/Electrical, · Engineering, · Computer Science, · Information Technology (IT), · Java, · Software Engineering, · Electrical Engineering, · Python",Egypt
AI/ML Intern,Thales,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Not specified, · IT/Software Development, · Marketing/PR/Advertising, · Engineering - Telecom/Technology, · information technology (it), · computer science, · engineering, · software engineering, · python, machine learning, · ai",Egypt
Applied Scientist,Inception,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · computer science, · python, · information technology (it), machine learning, · engineering, · algorithms, · natural language processing",Egypt
"Senior Engineer, I-C (Eng. Services Team - I&C - P&T)",ADNOC Group,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Engineering - Telecom/Technology, · Engineering - Mechanical/Electrical, · Computer Science, · Engineering, · Information Technology (IT), · Artificial Intelligence, · BigData, · CNNs, · Electrical Engineering",Egypt
AI Engineer,Print Hub ,"Mohandessin, Giza, Egypt","Full Time, On-site",N/A, 3 - 6 Yrs of Exp,"Experienced, · IT/Software Development, · Python Programming, · Data Analysis, · PyTorch, · Data Preprocessing, · Problem Solving, · Artificial Intelligence, · TensorFlow, · Algorithm Development, Deep Learning",Egypt
Technology Enablement AI Engineer,"Super Micro Computer Spain, S.L.","Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Engineering - Telecom/Technology, · Engineering - Mechanical/Electrical, · information technology (it), · computer science, · computer engineering, · software development, · python, · docker, · sales",Egypt
AI Engineer Instructor (Part-Time),Senior Steps,"Nasr City, Cairo, Egypt","Part Time, Hybrid",N/A, 1 - 6 Yrs of Exp,"Experienced, · R&D/Science, · IT/Software Development, · Training/Instructor, · AI Engineer Instructor, · AI Instructor, · Artificial Intelligence Trainer, Machine Learning Instructor, Deep Learning Specialist, · AI Engineer, Machine Learning Engineer",Egypt
Artificial Intelligence (AI) Engineer | Alexandria,Akwad,"Qassim, Saudi Arabia","Full Time, On-site",N/A, 2 - 5 Yrs of Exp,"Experienced, · IT/Software Development, · Artificial Intelligence, Machine Learning, · Python Programming",Egypt
Data Scientist,Capgemini Engineering,"Riyadh, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Python, · Computer Science, · Information Technology (IT), · SQL, · Data Science, · Data Scientist, Machine Learning",Egypt
Statistics and Data Science - Assistant Professor Tenure Track,American University of Kuwait (AUK),"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Computer Science, · Statistics, · Information Technology (IT), · SQL, · Data Analysis, · Python, · Analysis",Egypt
Artificial Intelligence in Action - Open Rank Faculty Positions,American University of Kuwait (AUK),"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· Accounting/Finance, · IT/Software Development, · Engineering - Telecom/Technology, · Computer Science, · Information Technology (IT), · Accounting, · FInance, · Artificial Intelligence, · Computer Engineering, · Engineering",Egypt
Sr Electrical & Dry Utilities Engineer,Parsons Corporation,"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· Creative/Design/Art, · Installation/Maintenance/Repair, · Engineering - Mechanical/Electrical, · Electrical Engineering, · Electrical, · Engineering, · Mechanical Engineering, · Construction, · Design, · English",Egypt
Subject Matter Expert - Cloud,Globant,"Riyadh, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · Customer Service/Support, · Analyst/Research, · Education/Teaching, · Subject Matter Expert, · Education, · SME, · Teaching, · Curriculum Development, · Educational Consultation, · Call Center",Egypt
Postdoctoral Researcher in Computer Vision and Geospatial Analytics,IBM,"Riyadh, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · computer science, · information technology (it), · engineering, · software development, · research, · computer engineering, · python",Egypt
QA Validation & Qualification Officer,APEX Pharma,"Badr City, Cairo, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · R&D/Science, · Quality, · Pharmaceutical, · Quality Assurance, · Pharmacy, · Science, · Microsoft Office, · ISO, · GMP, · GDP",Egypt
Technical Office Engineer - Electrical,Electro ElHany  ,"Heliopolis, Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Engineering - Mechanical/Electrical, · Analytical thinking, · Time management, · Attention to detail, · MS Office proficiency, · Teamwork, · Communication, · Project coordination, · Technical documentation, · Technical Office Engineering",Egypt
Production Engineer Internship - Alexandria,Prometeon tyres group – Egypt,"Ameria, Alexandria, Egypt","Internship, On-site",Entry Level, 0 - 1 Yrs of Exp,"· Manufacturing/Production, · Science, · Production, · Mechanical Engineering, · Engineering, · Chemistry, · Media Production, · quality",Egypt
Sales Engineer,Sidhom Printing Solutions ,"Cairo, Egypt","Full Time, Remote",Entry Level, 0 - 2 Yrs of Exp,"· Creative/Design/Art, · Sales/Retail, · Engineering - Other, · Applied Arts, · Communication skills, · Communication, · English, · Engineering, · Production, · Sales",Egypt
Senior Odoo Developer,Happy Care,"Nasr City, Cairo, Egypt","Full Time, Freelance / Project, Remote",N/A, 5+ Yrs of Exp,"Experienced, · IT/Software Development, · Engineering - Telecom/Technology, · Python Programming, · Odoo Development, · PostgreSQL, · API Integration, · ERP Implementation, · Business Process Analysis, · Odoo, · Odoo ERP",Egypt
Data Analyst & A.I. Expert,Fiftee,"Brussels, Belgium","Part Time, Freelance / Project, Remote",N/A, 3+ Yrs of Exp,"Experienced, · IT/Software Development, · Data Analysis, · A.I., · Startup, · International Software Testing Qualifications Board, · Databases, · Reporting, · visual",Egypt
Data Analyst + Instructor (Excel & Power BI),EpsilonAI,"Nasr City, Cairo, Egypt","Full Time, Hybrid",Entry Level, 0 - 3 Yrs of Exp,"· IT/Software Development, · Analyst/Research, · Education/Teaching, · Data Analysis, · Database SQL Server, · MySQL, · Data Analytics, · Big Data Analytics, · Microsoft Excel, · Power BI",Egypt
Production Chemist,Intertrade Co. ,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",N/A, 2 - 5 Yrs of Exp,"Experienced, · R&D/Science, · Other, · Engineering - Other, · Chemistry, · quality, · Communication skills, · Microsoft Excel, · Science, · Testing, · Engineering",Egypt
Maintenance Engineer,Confidential,"Dawahi, Port Said, Egypt","Full Time, On-site",N/A, 5+ Yrs of Exp,"Experienced, · Installation/Maintenance/Repair, · Manufacturing/Production, · Engineering - Mechanical/Electrical, · Electrical troubleshooting, · Team supervision, · Preventive maintenance, · Technical documentation, · Safety compliance, · Equipment diagnostics, · Problem-solving",Egypt
Terminal Task Engineer,Parsewave,"San Francisco, United States","Part Time, Freelance / Project, Shift Based, Remote",Entry Level, 0 - 10 Yrs of Exp,"· IT/Software Development, · Software Development, · Python",Egypt
Junior Mechanical Engineer,Alex Apparels for Garment Manufacturing ,"Ameria, Alexandria, Egypt","Full Time, On-site",Entry Level, 0 - 2 Yrs of Exp,"· Installation/Maintenance/Repair, · Engineering - Mechanical/Electrical, · Mechanical Design, · Engineering, · Engineering Services, · Engineering Field, · Electronics Engineering, · Computer Engineering, · Mechanical Engineering, · Electronic Engineering",Egypt
R&D Junior Engineer,Midea Group,"Alsadat City, Monufya, Egypt","Full Time, On-site",Entry Level, 0 - 3 Yrs of Exp,"· R&D/Science, · Engineering - Mechanical/Electrical, · Research Development, · Lab Engineer, · Engineering, · Mechatronics",Egypt
Technician,Infinity tecs,"Cairo, Egypt","Full Time, On-site",Entry Level, 0 - 2 Yrs of Exp,"· Customer Service/Support, · Technical troubleshooting, · Equipment installation, · Preventive maintenance, · Problem-solving, · Technical documentation, · Safety compliance",Egypt
Python Developer (CAD Automation),StoryGold,"San Francisco, United States","Full Time, Remote",Entry Level, 0 - 2 Yrs of Exp,"· IT/Software Development, · Python programming, · Automation scripting, · CAD software integration",Egypt
Software Engineer,CodeCybers,"Cairo, Egypt","Full Time, Part Time, Freelance / Project, Remote",N/A, 2 - 6 Yrs of Exp,"Experienced, · IT/Software Development, · Java, · JavaScript, · Spring Boot, · SQL, · Docker, · DevOps",Egypt
Software Development Manager,Confidential,"6th of October, Giza, Egypt","Full Time, Hybrid",N/A, 10+ Yrs of Exp,"Manager, · Business Development, · IT/Software Development, · Engineering - Telecom/Technology, · Azure, · Computer Science, · developer, · Engineering, · ERP System, · Information Technology (IT), · ERP",Egypt
Office Manager,INSERA,"New Cairo, Cairo, Egypt","Full Time, On-site",Entry Level, 0 - 3 Yrs of Exp,"· Administration, · Operations/Management, · Project/Program Management, · business, · Office management, · Communication skills, · Administration, · English",Egypt
"Senior Data Scientist – NLP, LLMs & Agentic AI",WUZZUF,"Cairo, Egypt","Full Time, Hybrid",N/A, 6 - 9 Yrs of Exp,"Experienced, · Engineering - Telecom/Technology, · Data Science, · NLP, · LLMs",Egypt
Senior Data Engineer – Data Warehouse / Lakehouse,Global Solutions GS Oman,"Muscat, Oman","Full Time, On-site",N/A, 8+ Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Problem Solving, · Big Data Technologies (Spark, Hadoop, Databricks), · Data Governance, · Performance Optimization, · Data Modeling, · ETL/ELT Development, · SQL",Egypt
Industrial Controlling & Reporting Internship - Alexandria,Prometeon tyres group – Egypt,"Ameria, Alexandria, Egypt","Internship, On-site",Entry Level, 0 - 1 Yrs of Exp,"· Manufacturing/Production, · Engineering - Other, · Industrial Engineering, · Engineering Management, · Producation, · Engineering, · English, · Industrial, · Internship, · Students Affairs",Egypt
AI Developer,HARMONIEQ,"Maadi, Cairo, Egypt","Full Time, Remote",Entry Level, 1 - 3 Yrs of Exp,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · PyTorch, · AI, · Software Development, · Program Development, · Algorithms, · Software Engineering, · Python Programming",Egypt
Graphic Designer AI,Amer Vision Group,"Sheraton, Cairo, Egypt","Full Time, On-site",N/A, 2 - 5 Yrs of Exp,"Experienced, · Creative/Design/Art, · Marketing/PR/Advertising, · Media/Journalism/Publishing, · Adobe Creative Suite, · Visual storytelling, · 3D rendering, · Creative problem-solving, · Time management, · Attention to detail, · AI-powered graphic design",Egypt
Data Analytics Specialist,MEAHCO Saudi German Health,"Katameya, Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Medical/Healthcare, · Quality, · Analyst/Research, · SQL, · python development, · SAS, · Tableau, · Power BI, · QlikView, · Microsoft Excel",Egypt
AI Engineer,Confidential,"New Cairo, Cairo, Egypt","Full Time, Remote",N/A, 4 - 6 Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Natural Language Processing (NLP), · Python Programming, · Algorithm Development, · Data Preprocessing",Egypt
