Job Title,Company Name,Location,Job Type,Level,Years of Experience,Skills,Country
Financial Analyst,Riyadh Cables,"Maadi, Cairo, Egypt","Full Time, On-site",N/A, 7 - 10 Yrs of Exp,"Experienced, · Accounting/Finance, · Analyst/Research, · Financial Analysis, · Manufacturing Industry, · Financial Reporting, · Financial Modeling, · Problem Solving, · Budgeting and Forecasting, · Variance Analysis, · SAP user",Egypt
Healthcare Accounts Receivable (A/R) Analyst,Elghandour Medical Group,"10th of Ramadan City, Cairo, Egypt","Full Time, On-site",N/A, 5+ Yrs of Exp,"Experienced, · Accounting/Finance, · Financial Analysis, · Reconciliation, · Accounts Receivable Management, · ERP Systems, · Billing and Invoicing, · Attention to Detail, · AP Accountant",Egypt
"Financial Analyst, Corporate Finance & Strategy EM",Saudi-firmness,"Katameya, Cairo, Egypt","Full Time, On-site",N/A, 5 - 8 Yrs of Exp,"Experienced, · Accounting/Finance, · Finance, · Financial Analysis, Financial Data Analysis, · Accounting",Egypt
Financial Analyst,Confidential,"Obour City, Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Accounting/Finance, · Analyst/Research, · Accounting, · Analysis, · Finance, · Financial Analysis, · Microsoft Excel, · Commerce, · analytical, · Financial",Egypt
Process Improvement Analyst,System Technique,"Abu Rawash, Giza, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · Administration, · Workflow Optimization, Data Analysis, · Project Management",Egypt
Data Analyst,Confidential,"Smouha, Alexandria, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · Analyst/Research, Data Analysis, · Excel, · Power BI, · Problem Solving, Data Cleaning, · Reporting, · SQL, Data Visualization, · Statistical Analysis",Egypt
Financial Pricing Analyst,Confidential,"Giza, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · Accounting/Finance, · Pricing Strategy, · Financial Analysis, · Excel (Advanced), · Problem Solving, · Market Research, · Analytical Thinking, · Power BI, · Communication",Egypt
Data Analyst,Royal Herbs ,"Haram, Giza, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Statistical Modeling, Data Visualization, · SQL, · Excel, · Power BI, · Tableau, · Problem Solving",Egypt
WFM Scheduling Analyst (Contact Center),Giza Systems,"New Cairo, Cairo, Egypt","Full Time, On-site",N/A, 3+ Yrs of Exp,"Experienced, · Customer Service/Support, · Operations/Management, · Analyst/Research, · Customer Service, · Workforce Management, · Operations Management, · Analysis, · Call Center, · Customer Care, · Management",Egypt
Business Analyst,Oola Technologies,"6th of October, Giza, Egypt","Full Time, Hybrid",Entry Level, 1 - 5 Yrs of Exp,"· IT/Software Development, · Analyst/Research, · Requirements Gathering, · Business Process Analysis, · Insurance Industry Knowledge, · Problem Solving",Egypt
Credit Analyst,Tech4Health,"Cairo, Egypt","Full Time, On-site",N/A, 3+ Yrs of Exp,"Experienced, · Accounting/Finance, · Banking, · Analyst/Research, · Credit Analysis, · Financial Statement Analysis, · Risk Assessment, · Financial Modeling, Data Analysis, · Attention to Detail, · Communication",Egypt
Data Analyst & Instructor (Excel & Power BI),EpsilonAI,"Nasr City, Cairo, Egypt","Full Time, Hybrid",Entry Level, 0 - 3 Yrs of Exp,"· IT/Software Development, · Analyst/Research, · Education/Teaching, Data Analysis, Database SQL Server, · MySQL, Data Analytics, Big Data Analytics, · Microsoft Excel, · Power BI",Egypt
Quality Assurance (QA) Analyst – Hard Services,Confidential,"Mokattam, Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Engineering - Construction/Civil/Architecture, · Quality Assurance, · Facilities Management, · Problem Solving, · Communication, · Risk Assessment, · Audit and Inspection, Data Analysis",Egypt
Financial Analyst,Confidential,"Bourj Alarab, Alexandria, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Accounting/Finance, · Financial Modeling, · Excel (Advanced), · Presentation Skills, · Financial Analysis, · Budgeting and Forecasting, · Variance Analysis, Data Interpretation, · ERP Systems, · Problem Solving",Egypt
Business Analyst Section Head,Family Corporation,"Heliopolis, Cairo, Egypt","Full Time, On-site",N/A, 5 - 7 Yrs of Exp,"Manager, · Analyst/Research, · Business Analysis, · Team Leadership, · Process Improvement, Data Analysis, · Stakeholder Management, · Project Management, · Requirements Gathering, · Strategic Planning, · Communication",Egypt
Cost Analyst,Haier Electric Egypt ,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",N/A, 3 - 7 Yrs of Exp,"Senior Management, · Accounting/Finance, · Analyst/Research, · Cost Analysis, · Cost Accounting, · ERP Systems, Data Analysis, · Financial Analysis",Egypt
Business Process Analyst,Arma-HSA,"Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Analyst/Research, · Business Process Analysis, · Project Management, · Stakeholder Engagement, · Problem Solving, · Communication",Egypt
Senior HR Analyst,Alex Apparels for Garment Manufacturing ,"Ameria, Alexandria, Egypt","Full Time, On-site",N/A, 5 - 7 Yrs of Exp,"Experienced, · Human Resources, · Analyst/Research, · Advanced Excel, · HR analytics, · HR, · HR Systems, · HR Admin, · HR Policies, · HRMIS, · HR Specialist",Egypt
Sales Analyst,NILEWOOD ,"Alsadat City, Monufya, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Analyst/Research, · Sales/Retail, · Strong analytical skills to support internal sales operations, Proficiency in Power BI for data visualization and reporting, Advanced Excel skills for data analysis and modeling, · Experience with Oracle ERP or similar systems for sales and inventory management, · Ability to collaborate with Sales, Supply Chain, Production, and Finance teams, · Sales analysis, Data visualization, · Statistical analysis",Egypt
Data Analyst,Sun Pyramids Tours,"Haram, Giza, Egypt","Full Time, On-site",N/A, 2+ Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Dashboard Development, Data Analysis, Data Visualization, · SQL, · Excel, · Python, · Statistical Analysis",Egypt
KPIs & Data Performance Analyst,Confidential,"Cairo, Egypt","Full Time, On-site",N/A, 3 - 6 Yrs of Exp,"Experienced, · Engineering - Construction/Civil/Architecture, · IT/Software Development, · Engineering - Telecom/Technology, Data Analysis, · KPI Development, · Business Intelligence, Data Visualization, · SQL, · Statistical Analysis, · Reporting",Egypt
Data Analyst,Rize | رايز,"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Analysis, · Computer Science, · Information Technology (IT), · SQL, · Microsoft Office, · Microsoft Excel",Egypt
financial analyst,GV Investment Group,"Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Accounting/Finance, · Business Development, · Analyst/Research, · Financial Analysis, · Budgeting and Forecasting, · Financial Reporting, Data Analysis, · ERP Systems",Egypt
Senior Financial Analyst,CatchCo,"Berkeley, United States","Full Time, Remote",N/A, 3 - 7 Yrs of Exp,"Experienced, · Accounting/Finance, · Financial modeling, · Budgeting and forecasting, · Variance analysis, Data analysis, · Advanced Excel, · Financial reporting, · Communication, · Attention to detail, · Problem-solving",Egypt
Data Analyst,Alaan,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Analysis, · Computer Science, · Information Technology (IT), · SQL, · Microsoft Office, · Microsoft Excel",Egypt
Data Analyst,Virtusa,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Analysis, · Computer Science, · Information Technology (IT), · SQL, · Microsoft Office, · Microsoft Excel",Egypt
Fraud Analyst,Al Ahly Medical Company,"Giza, Giza, Egypt","Full Time, On-site",Entry Level, 1 - 3 Yrs of Exp,"· Medical/Healthcare, · Quality, · Problem Solving, · Detail Oriented, · Multitasking, · Banking, · Banking Domain, · Banking Sector, · Banking Services, · Banking Relationships",Egypt
Data Analyst,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · Analyst/Research, · Sales/Retail, · Analysis, · Administration, Data Analysis, · Finance, · business, · Sales Analysis, · Microsoft Excel, Data",Egypt
